family,n,p,amplitude,basis,map,extra,field,derivative,error_l2_ratio,face_rms_ratio,jump_rms_ratio
quad,8.0,2.0,0.7,gll,separable,0.0,represented_quadratic,x,2.986014983843128e-11,2.1787085013914545e-11,2.4918008104043488e-11
quad,8.0,2.0,0.7,gll,separable,0.0,represented_quadratic,y,1.6735814837998348e-10,1.5004148642731762e-10,1.1677070602301256e-10
quad,8.0,2.0,0.7,gll,separable,0.0,represented_quadratic,xx,7.004642797377449e-12,4.266884895809942e-12,2.007795251676568e-11
quad,8.0,2.0,0.7,gll,separable,0.0,represented_quadratic,xy,4.985314800447777e-09,3.836586550011394e-09,3.3734753851254178e-09
quad,8.0,2.0,0.7,gll,separable,0.0,represented_quadratic,yy,3.9128621216581304e-11,3.326708317656037e-11,1.2724090370496615e-10
quad,8.0,2.0,0.7,gll,separable,0.0,constant,x,nan,nan,nan
quad,8.0,2.0,0.7,gll,separable,0.0,constant,y,nan,nan,nan
quad,8.0,2.0,0.7,gll,separable,0.0,constant,xx,nan,nan,nan
quad,8.0,2.0,0.7,gll,separable,0.0,constant,xy,nan,nan,nan
quad,8.0,2.0,0.7,gll,separable,0.0,constant,yy,nan,nan,nan
quad,4.0,3.0,0.7,gll,separable,0.0,represented_quadratic,x,1.7809857630996283e-11,1.2912559954113574e-11,1.9704463068364505e-11
quad,4.0,3.0,0.7,gll,separable,0.0,represented_quadratic,y,1.5252293730743004e-10,1.2484312557748205e-10,2.3648676056427875e-10
quad,4.0,3.0,0.7,gll,separable,0.0,represented_quadratic,xx,5.2101327224892335e-12,3.1634097347192922e-12,1.1603351128542754e-11
